step,loss,acc
100,0.615126953125,0.6582000297307968
200,0.5535595703125,0.7145600295066834
300,0.52138671875,0.735760029554367
400,0.49398193359375,0.7560000324249267
500,0.47349853515625,0.7701200342178345
600,0.45161865234375,0.7845600366592407
700,0.4368896484375,0.7961600363254547
800,0.419384765625,0.8049200415611267
900,0.3982470703125,0.8160000383853913
1000,0.38176513671875,0.8258800405263901
1100,0.370078125,0.8341600400209427
1200,0.34504638671875,0.8493200451135635
1300,0.3325048828125,0.8578000402450562
1400,0.31315185546875,0.8652800434827804
1500,0.303831787109375,0.8720800405740738
1600,0.27689208984375,0.8861600410938263
1700,0.2676171875,0.8884000456333161
1800,0.24562255859375,0.9005200415849686
1900,0.23964599609375,0.9024400413036346
2000,0.216488037109375,0.9154800415039063
2100,0.2102716064453125,0.9168400424718857
2200,0.19431640625,0.9251200437545777
2300,0.1894384765625,0.9250000411272049
2400,0.17882080078125,0.9311200451850891
2500,0.1616796875,0.939200046658516
2600,0.157138671875,0.9417200481891632
2700,0.147418212890625,0.9455600440502167
2800,0.14616455078125,0.9431600469350815
2900,0.1401141357421875,0.9482400453090668
3000,0.13198486328125,0.9515600502490997
3100,0.1263946533203125,0.9529600501060486
3200,0.12810577392578126,0.9533200484514236
3300,0.11707305908203125,0.9582000488042831
3400,0.11415252685546876,0.9584400451183319
3500,0.10729827880859374,0.9623600471019745
3600,0.1058978271484375,0.9621600449085236
3700,0.10060272216796876,0.9642800456285476
3800,0.1031805419921875,0.9632800483703613
3900,0.10256561279296875,0.9630400449037552
4000,0.0920159912109375,0.9683200460672379
4100,0.0923040771484375,0.9676000481843948
4200,0.08785980224609374,0.9689600443840027
4300,0.08376495361328125,0.970000046491623
4400,0.08517669677734375,0.9680800473690033
4500,0.0811920166015625,0.9718400448560714
4600,0.081077880859375,0.9719600450992584
4700,0.07618865966796876,0.972640045285225
4800,0.075604248046875,0.9726800483465194
4900,0.07960357666015624,0.9712000453472137
5000,0.07057342529296876,0.975280042886734
