step,loss,acc
100,0.9050390625,0.5639200240373612
200,0.768525390625,0.6035600304603577
300,0.7259912109375,0.6247200322151184
400,0.72232421875,0.6345200306177139
500,0.6849365234375,0.6516800308227539
600,0.6685986328125,0.6562000298500061
700,0.68224609375,0.6597600305080413
800,0.65896484375,0.6677600336074829
900,0.664111328125,0.6702400302886963
1000,0.65873046875,0.6773200315237046
1100,0.6503857421875,0.681360029578209
1200,0.6313232421875,0.6873200297355652
1300,0.6472021484375,0.687320030927658
1400,0.6170361328125,0.69776003241539
1500,0.617001953125,0.7027600330114364
1600,0.6072998046875,0.706880031824112
1700,0.59054931640625,0.716880030632019
1800,0.5955078125,0.7139200323820114
1900,0.58837646484375,0.7220400327444076
2000,0.5911181640625,0.7247600328922271
2100,0.5727197265625,0.7278400319814682
2200,0.5689453125,0.735320030450821
2300,0.571015625,0.7337600314617156
2400,0.5730078125,0.7353200322389603
2500,0.56697998046875,0.7420000320672989
2600,0.5461474609375,0.7473200333118438
2700,0.53580810546875,0.7535600346326828
2800,0.53588623046875,0.7569200313091278
2900,0.52748046875,0.7626400351524353
3000,0.51477783203125,0.7617600357532501
3100,0.51475830078125,0.7640400332212448
3200,0.5049853515625,0.7678400331735611
3300,0.49408447265625,0.7746000343561172
3400,0.49558349609375,0.7804400330781937
3500,0.49028076171875,0.7822400349378585
3600,0.4659033203125,0.7883200377225876
3700,0.4772607421875,0.7942800354957581
3800,0.47191162109375,0.7929600399732589
3900,0.45386474609375,0.7972800374031067
4000,0.4471630859375,0.8058000385761261
4100,0.45654541015625,0.8039600366353988
4200,0.4359716796875,0.8129200398921966
4300,0.4245263671875,0.8183600372076034
4400,0.4332080078125,0.8143200385570526
4500,0.4165673828125,0.8188400381803512
4600,0.40907958984375,0.828560038805008
4700,0.39584228515625,0.8310400396585464
4800,0.39116943359375,0.8320800405740738
4900,0.38079833984375,0.8376800417900085
5000,0.383671875,0.8390400427579879
